 · «%s»: владелец + 	 · «%s»: egasi + 
Чек %s. Позиций: %s. 	Chek %s. Pozitsiya: %s. 
Чек / товары	Chek / mahsulotlar
Чек вернулся в кассу	Chek kassaga qaytdi
Чек исчезнет с устройства и на сервер больше не попадёт: продажи в отчётах магазина не будет, а списанный остаток останется списанным. Удаляйте только тот чек, который сервер уже отверг по существу.	Chek qurilmadan yo‘qoladi va boshqa serverga tushmaydi: do‘kon hisobotlarida bu sotuv bo‘lmaydi, hisobdan chiqarilgan qoldiq esa chiqarilganicha qoladi. Faqat server mohiyatan rad etgan chekni o‘chiring.
Чек не найден. Проверьте номер.	Chek topilmadi. Raqamni tekshiring.
Чек отложен — касса свободна	Chek kechiktirildi — kassa bo‘sh
Чек отправлен на принтер	Chek printerga yuborildi
Чек пуст	Chek bo‘sh
Чек удалён из очереди	Chek navbatdan o‘chirildi
Чек уходит на принтер, как только продажа проведена	Sotuv o‘tkazilishi bilan chek printerga jo‘naydi
Чек №%s	Chek №%s
Чеки, которые ждут связи	Aloqani kutayotgan cheklar
Чеки, которые ждут связи с сервером	Server bilan aloqani kutayotgan cheklar
Чеки, которые не удалось отправить на сервер, хранятся на этом устройстве и уйдут сами, как только появится связь. Продажа уже проведена: остаток списан, чек можно печатать.\n\nПовторная отправка безопасна — сервер узнаёт номер чека и не проводит его дважды.	Serverga yuborib bo‘lmagan cheklar shu qurilmada saqlanadi va aloqa paydo bo‘lishi bilan o‘zi jo‘naydi. Sotuv allaqachon o‘tkazilgan: qoldiq hisobdan chiqarilgan, chekni chop etish mumkin.\n\nQayta yuborish xavfsiz — server chek raqamini taniydi va uni ikki marta o‘tkazmaydi.
Чеков	Cheklar
Что за товар	Qanday mahsulot
Чтобы продолжать проводить приход — выберите тариф.	Kirimni o‘tkazishda davom etish uchun — tarifni tanlang.
Чтобы продолжать продавать — выберите тариф.	Sotishda davom etish uchun — tarifni tanlang.
Чтобы прочитать штрихкод, разрешите приложению доступ к камере.	Shtrix-kodni o‘qish uchun ilovaga kameraga ruxsat bering.
Чтобы увидеть список принтеров, нужен доступ к устройствам поблизости.	Printerlar ro‘yxatini ko‘rish uchun yaqin atrofdagi qurilmalarga ruxsat kerak.
Чёрный / 64 GB	Qora / 64 GB
Шаг продажи	Sotuv qadami
Ширина ленты	Lenta kengligi
Ширина ленты вашего термопринтера. Влияет на печать чеков с этого устройства.	Termoprinteringiz lentasining kengligi. Bu qurilmadan chek chop etishga ta’sir qiladi.
Ширина ленты, автопечать и выбор Bluetooth-принтера	Lenta kengligi, avtomatik chop etish va Bluetooth printerni tanlash
Штрихкод	Shtrix-kod
Штрихкод %s не найден	%s shtrix-kodi topilmadi
Штрихкод подставлен	Shtrix-kod qo‘yildi
Штрихкода нет	Shtrix-kod yo‘q
Штрихкодов: %s	Shtrix-kodlar: %s
Штрихкоды	Shtrix-kodlar
Штук	Dona
Штучный товар: продаётся целыми единицами.	Donali mahsulot: butun birliklarda sotiladi.
Эти цифры создадут приход — он появится на странице «Приход».	Bu raqamlar kirim yaratadi — u «Kirim» sahifasida paydo bo‘ladi.
Этикетки FonRo	FonRo etiketkalari
Этикетки отправлены на принтер	Etiketkalar printerga yuborildi
Это устройство	Bu qurilma
Это устройство не умеет Bluetooth	Bu qurilma Bluetooth’ni qo‘llab-quvvatlamaydi
Этот код уже у товара «%s»	Bu kod «%s» mahsulotida bor
Этот чек уже был проведён — повторно не списываем	Bu chek allaqachon o‘tkazilgan — qayta hisobdan chiqarmaymiz
Я оплатил — обновить	To‘ladim — yangilash
Язык интерфейса	Interfeys tili
Язык кассы на этом устройстве. На чеки и этикетки не влияет.	Bu qurilmadagi kassa tili. Chek va etiketkalarga ta’sir qilmaydi.
Язык каталога	Katalog tili
а все его устройства потеряют доступ. Новый ключ надо будет передать лично.	va uning barcha qurilmalari kirishni yo‘qotadi. Yangi kalitni shaxsan berish kerak bo‘ladi.
автор не указан	muallif ko‘rsatilmagan
админ	admin
адрес не настроен	manzil sozlanmagan
активен	faol
в документе	hujjatda
в долг	qarzga
введите 6-значный код	6 xonali kodni kiriting
витрину	vitrinani
включён	yoqilgan
владелец	egasi
возвраты %s на %s	qaytarishlar %s ta, %s ga
вс	yak
вт	sesh
выключен	o‘chirilgan
заказ	buyurtma
карта	karta
касса	kassa
кассир	kassir
категория	kategoriya
клиент	mijoz
магазин	do‘kon
менеджер	menejer
мобильная касса магазина	do‘konning mobil kassasi
мы отправили код на %s	kodni %s ga yubordik
на %s. 	%s ga. 
на складе: 	omborda: 
найдено по запросу	so‘rov bo‘yicha topildi
наклеек	yorliq
наклейка	yorliq
наклейки	yorliq
наличные	naqd
напр. Аренда	masalan, Ijara
настройки	sozlamalar
не выбран	tanlanmagan
необязательно	majburiy emas
нет кода	kod yo‘q
нет сети · продажи сохраняются	tarmoq yo‘q · sotuvlar saqlanmoqda
нет сети · чеков в очереди: %s	tarmoq yo‘q · navbatdagi cheklar: %s
новый магазин в FonRo	FonRo’da yangi do‘kon
остаток, шт	qoldiq, dona
остаток: %s %s	qoldiq: %s %s
отключён	o‘chirilgan
отменён  	bekor qilingan  
отправляем чеки: %s	cheklar yuborilmoqda: %s
пн	dush
позиции	pozitsiya
позиций	pozitsiya
позиция	pozitsiya
позиция #%s	pozitsiya #%s
помидоры с базара, не продались…	bozordan olingan pomidor, sotilmadi…
попытка	urinish
попытки	urinish
попыток	urinish
прибыль %s	foyda %s
придумайте новый пароль	yangi parol o‘ylab toping
принтер не отвечает	printer javob bermayapti
приход	kirim
прихода	kirim
приходов	kirim
пришлём код на вашу почту	pochtangizga kod yuboramiz
проведён	o‘tkazildi
продаж	sotuv
продажа	sotuv
продажи	sotuv
прочее	boshqa
пт	jum
расход	xarajat
сб	shan
сегодня	bugun
сотрудник	xodim
сотрудника	xodim
сотрудников	xodim
ср	chor
стандарт — как в iOS по умолчанию	standart — iOS’dagi kabi
сум/мес	so‘m/oy
считаем по чекам…	cheklar bo‘yicha hisoblanmoqda…
телефон не указан	telefon ko‘rsatilmagan
товар	mahsulot
товара	mahsulot
товаров	mahsulot
уже есть	allaqachon bor
уже не в магазине	endi do‘konda emas
узкая лента	tor lenta
указать	ko‘rsatish
чек	chek
чека	chek
чеков	chek
чт	pay
широкая лента	keng lenta
шт	dona
…и ещё %s	…va yana %s
← Назад ко входу	← Kirishga qaytish
← Уже есть аккаунт? Войти	← Akkauntingiz bormi? Kirish
⚙️ Настройки магазина	⚙️ Do‘kon sozlamalari
✅ Точка задана	✅ Nuqta belgilandi
✏️ Изменить ответ	✏️ Javobni o‘zgartirish
✓ Подтвердить	✓ Tasdiqlash
⭐ FonRo Премиум	⭐ FonRo Premium
⭐ Отзывы	⭐ Sharhlar
＋ Списать товар	＋ Mahsulotni hisobdan chiqarish
🌐 Онлайн-магазин 	🌐 Onlayn do‘kon 
🎟 Промокод %s: −%s%%	🎟 Promokod %s: −%s%%
🏬 Отзыв о магазине	🏬 Do‘kon haqida sharh
🏬 Самовывоз	🏬 O‘zi olib ketish
💬 Ответить	💬 Javob berish
💱 Валюта витрины	💱 Vitrina valyutasi
💵 В кассу	💵 Kassaga
📍 Локация магазина	📍 Do‘kon lokatsiyasi
📤 Поделиться	📤 Ulashish
🔒 Бесплатный период закончился	🔒 Bepul davr tugadi
🔗 Адрес витрины	🔗 Vitrina manzili
🗓 Календарь	🗓 Kalendar
🗓 Месяц	🗓 Oy
🚗 Доставка	🚗 Yetkazib berish
🚚 Доставка	🚚 Yetkazib berish
🚚 Магазин доставляет заказы	🚚 Do‘kon buyurtmalarni yetkazib beradi
🧭 Открыть	🧭 Ochish
🧾 Чеки	🧾 Cheklar
Аудит доступен сотрудникам с правом «Аудит». Историю проверок видно всем.	Inventarizatsiya «Inventarizatsiya» huquqiga ega xodimlarga ochiq. Tekshiruvlar tarixini hamma ko‘radi.
Аудитов пока не было. Нажмите «Начать аудит».	Hozircha inventarizatsiya bo‘lmagan. «Inventarizatsiyani boshlash»ni bosing.
Аудитов по этому товару не было.	Bu mahsulot bo‘yicha inventarizatsiya bo‘lmagan.
Аудит проведён	Inventarizatsiya o‘tkazildi
Провести аудит?	Inventarizatsiya o‘tkazilsinmi?
Нет права на аудит	Inventarizatsiyaga huquq yo‘q
Новый аудит	Yangi inventarizatsiya
Начать аудит	Inventarizatsiyani boshlash
Введите сумму оплаты	To‘lov summasini kiriting
Внесено сейчас	Hozir kiritildi
Нет доступа для этого действия.	Bu amal uchun ruxsat yo‘q.
Оплата меньше суммы чека	To‘lov chek summasidan kam
Отложенные	Kechiktirilganlar
Подставить сумму	Summani qo‘yish
Провести продажу	Sotuvni o‘tkazish
Провести продажу?	Sotuv o‘tkazilsinmi?
Скидка на чек снята: стоят скидки на позиции	Chekka chegirma olib tashlandi: pozitsiyalarga chegirma qo‘yilgan
Скидка съедает весь чек — к оплате 0	Chegirma butun chekni qoplaydi — to‘lovga 0
Скидки на позиции	Pozitsiyalarga chegirmalar
Сумма картой	Karta summasi
Уже стоят скидки на позиции	Pozitsiyalarga chegirma allaqachon qo‘yilgan
Чем внесли сейчас	Hozir nima bilan to‘landi
Мой доступ	Mening ruxsatim
Доступ	Ruxsat
Открыть всё	Hammasini ochish
Доступ открыт полностью	Ruxsat to‘liq ochiq
Скрыто разделов:	Yashirilgan bo‘limlar:
скрыто разделов:	yashirilgan bo‘limlar:
открыто всё	hammasi ochiq
Управление	Boshqaruv
нельзя скрыть: отсюда всё и возвращается	yashirib bo‘lmaydi: hammasi shu yerdan qaytariladi
Выключите разделы, которые не хотите показывать. Вы остаётесь владельцем — вернуть всё можно в один тап. Настройка действует на всех ваших устройствах.	Ko‘rsatmoqchi bo‘lmagan bo‘limlarni o‘chiring. Siz egasi bo‘lib qolasiz — hammasini bir tegishda qaytarish mumkin. Sozlama barcha qurilmalaringizda ishlaydi.
Спрячьте разделы на время показа — вы остаётесь владельцем	Ko‘rsatish vaqtida bo‘limlarni yashiring — siz egasi bo‘lib qolasiz
Виден	Ko‘rinadi
Скрыт	Yashirilgan
Настройка сохранена	Sozlama saqlandi
скрыто разделов: %s	yashirilgan bo‘limlar: %s
Скрыто разделов: %s	Yashirilgan bo‘limlar: %s
