 · «%s»: владелец + 	 · «%s»: ээси + 
Чек не найден. Проверьте номер.	Чек табылган жок. Номерин текшериңиз.
Чек отложен — касса свободна	Чек кийинкиге калтырылды — касса бош
Чек отправлен на принтер	Чек принтерге жөнөтүлдү
Чек пуст	Чек бош
Чек удалён из очереди	Чек кезектен өчүрүлдү
Чек уходит на принтер, как только продажа проведена	Сатуу өткөрүлөөрү менен чек принтерге кетет
Чек №%s	Чек №%s
Чеки, которые ждут связи	Байланышты күткөн чектер
Чеки, которые ждут связи с сервером	Сервер менен байланышты күткөн чектер
Чеки, которые не удалось отправить на сервер, хранятся на этом устройстве и уйдут сами, как только появится связь. Продажа уже проведена: остаток списан, чек можно печатать.\n\nПовторная отправка безопасна — сервер узнаёт номер чека и не проводит его дважды.	Серверге жөнөтүлбөй калган чектер ушул түзмөктө сакталат жана байланыш пайда болоору менен өздөрү жөнөйт. Сатуу мурунтан өткөрүлгөн: калдык эсептен чыгарылган, чекти басып чыгарууга болот.\n\nКайра жөнөтүү коопсуз — сервер чектин номерин таанып, аны эки жолу өткөрбөйт.
Чеков	Чек
Что за товар	Кандай товар
Чтобы продолжать проводить приход — выберите тариф.	Киришти улантып өткөрүү үчүн — тариф тандаңыз.
Чтобы продолжать продавать — выберите тариф.	Сатууну улантуу үчүн — тариф тандаңыз.
Чтобы прочитать штрихкод, разрешите приложению доступ к камере.	Штрих-кодду окуу үчүн колдонмого камерага кирүүгө уруксат бериңиз.
Чтобы увидеть список принтеров, нужен доступ к устройствам поблизости.	Принтерлердин тизмесин көрүү үчүн жакындагы түзмөктөргө кирүү керек.
Чёрный / 64 GB	Кара / 64 GB
Шаг продажи	Сатуу кадамы
Ширина ленты	Тасманын туурасы
Ширина ленты вашего термопринтера. Влияет на печать чеков с этого устройства.	Термопринтериңиздин тасмасынын туурасы. Ушул түзмөктөн чектерди басып чыгарууга таасир этет.
Ширина ленты, автопечать и выбор Bluetooth-принтера	Тасманын туурасы, автобасып чыгаруу жана Bluetooth-принтерди тандоо
Штрихкод	Штрих-код
Штрихкод %s не найден	%s штрих-коду табылган жок
Штрихкод подставлен	Штрих-код коюлду
Штрихкода нет	Штрих-код жок
Штрихкодов: %s	Штрих-коддор: %s
Штрихкоды	Штрих-коддор
Штук	Даана
Штучный товар: продаётся целыми единицами.	Даана товар: бүтүн бирдиктер менен сатылат.
Эти цифры создадут приход — он появится на странице «Приход».	Бул цифралар кириш түзөт — ал «Кириш» барагында пайда болот.
Этикетки FonRo	FonRo этикеткалары
Этикетки отправлены на принтер	Этикеткалар принтерге жөнөтүлдү
Это устройство	Бул түзмөк
Это устройство не умеет Bluetooth	Бул түзмөк Bluetooth колдонбойт
Этот код уже у товара «%s»	Бул код «%s» товарында мурунтан бар
Этот чек уже был проведён — повторно не списываем	Бул чек мурунтан өткөрүлгөн — кайра эсептен чыгарбайбыз
Я оплатил — обновить	Мен төлөдүм — жаңыртуу
Язык интерфейса	Интерфейс тили
Язык кассы на этом устройстве. На чеки и этикетки не влияет.	Ушул түзмөктөгү кассанын тили. Чектерге жана этикеткаларга таасир этпейт.
Язык каталога	Каталогдун тили
а все его устройства потеряют доступ. Новый ключ надо будет передать лично.	ал эми анын бардык түзмөктөрү мүмкүнчүлүктөн ажырайт. Жаңы ачкычты жеке өзүнө берүү керек болот.
автор не указан	автор көрсөтүлгөн эмес
админ	админ
адрес не настроен	дарек тууралана элек
активен	активдүү
в документе	документте
в долг	карызга
введите 6-значный код	6 орундуу кодду киргизиңиз
витрину	витринаны
включён	күйгүзүлгөн
владелец	ээси
возвраты %s на %s	кайтаруулар %s, %s суммасына
вс	жш
вт	шш
выключен	өчүрүлгөн
заказ	буйрутма
карта	карта
касса	касса
кассир	кассир
категория	категория
клиент	кардар
магазин	дүкөн
менеджер	менеджер
мобильная касса магазина	дүкөндүн мобилдик кассасы
мы отправили код на %s	биз %s дарегине код жөнөттүк
на %s. 	%s суммасына. 
на складе: 	кампада: 
найдено по запросу	суроо боюнча табылды
наклеек	чаптама
наклейка	чаптама
наклейки	чаптама
наличные	накталай
напр. Аренда	мис. Ижара
настройки	жөндөөлөр
не выбран	тандалган эмес
необязательно	милдеттүү эмес
нет кода	код жок
нет сети · продажи сохраняются	тармак жок · сатуулар сакталууда
нет сети · чеков в очереди: %s	тармак жок · кезектеги чектер: %s
новый магазин в FonRo	FonRo'те жаңы дүкөн
остаток, шт	калдык, даана
остаток: %s %s	калдык: %s %s
отключён	өчүрүлгөн
отменён  	жокко чыгарылды  
отправляем чеки: %s	чектерди жөнөтүп жатабыз: %s
пн	дш
позиции	позиция
позиций	позиция
позиция	позиция
позиция #%s	позиция #%s
помидоры с базара, не продались…	базардан помидор, сатылган жок…
попытка	аракет
попытки	аракет
попыток	аракет
прибыль %s	пайда %s
придумайте новый пароль	жаңы сырсөз ойлоп табыңыз
принтер не отвечает	принтер жооп бербейт
приход	кириш
прихода	кириш
приходов	кириш
пришлём код на вашу почту	почтаңызга код жөнөтөбүз
проведён	өткөрүлдү
продаж	сатуу
продажа	сатуу
продажи	сатуу
прочее	башка
пт	жм
расход	чыгаша
сб	иш
сегодня	бүгүн
сотрудник	кызматкер
сотрудника	кызматкер
сотрудников	кызматкер
ср	шр
стандарт — как в iOS по умолчанию	стандарт — iOS'тогудай демейки
сум/мес	сум/ай
считаем по чекам…	чектер боюнча эсептеп жатабыз…
телефон не указан	телефон көрсөтүлгөн эмес
товар	товар
товара	товар
товаров	товар
уже есть	мурунтан бар
уже не в магазине	эми дүкөндө эмес
узкая лента	тар тасма
указать	көрсөтүү
чек	чек
чека	чек
чеков	чек
чт	бш
широкая лента	кең тасма
шт	даана
…и ещё %s	…жана дагы %s
← Назад ко входу	← Кирүүгө кайтуу
← Уже есть аккаунт? Войти	← Аккаунт бар беле? Кирүү
⚙️ Настройки магазина	⚙️ Дүкөндүн жөндөөлөрү
✅ Точка задана	✅ Чекит белгиленди
✏️ Изменить ответ	✏️ Жоопту өзгөртүү
✓ Подтвердить	✓ Ырастоо
⭐ FonRo Премиум	⭐ FonRo Премиум
⭐ Отзывы	⭐ Пикирлер
＋ Списать товар	＋ Товарды эсептен чыгаруу
🌐 Онлайн-магазин 	🌐 Онлайн дүкөн 
🎟 Промокод %s: −%s%%	🎟 Промокод %s: −%s%%
🏬 Отзыв о магазине	🏬 Дүкөн жөнүндө пикир
🏬 Самовывоз	🏬 Өзү алып кетүү
💬 Ответить	💬 Жооп берүү
💱 Валюта витрины	💱 Витринанын валютасы
💵 В кассу	💵 Кассага
📍 Локация магазина	📍 Дүкөндүн жайгашкан жери
📤 Поделиться	📤 Бөлүшүү
🔒 Бесплатный период закончился	🔒 Акысыз мезгил бүттү
🔗 Адрес витрины	🔗 Витринанын дареги
🗓 Календарь	🗓 Календарь
🗓 Месяц	🗓 Ай
🚗 Доставка	🚗 Жеткирүү
🚚 Доставка	🚚 Жеткирүү
🚚 Магазин доставляет заказы	🚚 Дүкөн буйрутмаларды жеткирет
🧭 Открыть	🧭 Ачуу
🧾 Чеки	🧾 Чектер
Аудит доступен сотрудникам с правом «Аудит». Историю проверок видно всем.	Инвентаризация «Инвентаризация» укугу бар кызматкерлерге жеткиликтүү. Текшерүүлөрдүн тарыхын баары көрөт.
Аудитов пока не было. Нажмите «Начать аудит».	Азырынча инвентаризация болгон эмес. «Инвентаризацияны баштоо» баскычын басыңыз.
Аудитов по этому товару не было.	Бул товар боюнча инвентаризация болгон эмес.
Аудит проведён	Инвентаризация жүргүзүлдү
Провести аудит?	Инвентаризацияны өткөрөсүзбү?
Нет права на аудит	Инвентаризацияга укук жок
Новый аудит	Жаңы инвентаризация
Начать аудит	Инвентаризацияны баштоо
Введите сумму оплаты	Төлөм суммасын киргизиңиз
Внесено сейчас	Азыр төлөндү
Нет доступа для этого действия.	Бул аракет үчүн уруксат жок.
Оплата меньше суммы чека	Төлөм чектин суммасынан аз
Отложенные	Кийинкиге калтырылгандар
Подставить сумму	Сумманы коюу
Провести продажу	Сатууну өткөрүү
Провести продажу?	Сатуу өткөрүлсүнбү?
Скидка на чек снята: стоят скидки на позиции	Чекке арзандатуу алынды: позицияларга арзандатуу коюлган
Скидка съедает весь чек — к оплате 0	Арзандатуу бүт чекти жабат — төлөөгө 0
Скидки на позиции	Позицияларга арзандатуулар
Сумма картой	Карта суммасы
Уже стоят скидки на позиции	Позицияларга арзандатуу мурунтан коюлган
Чем внесли сейчас	Азыр эмне менен төлөндү
Мой доступ	Менин уруксатым
Доступ	Уруксат
Открыть всё	Баарын ачуу
Доступ открыт полностью	Уруксат толук ачык
Скрыто разделов:	Жашырылган бөлүмдөр:
скрыто разделов:	жашырылган бөлүмдөр:
открыто всё	баары ачык
Управление	Башкаруу
нельзя скрыть: отсюда всё и возвращается	жашырууга болбойт: баары ушул жерден кайтарылат
Выключите разделы, которые не хотите показывать. Вы остаётесь владельцем — вернуть всё можно в один тап. Настройка действует на всех ваших устройствах.	Көрсөткүңүз келбеген бөлүмдөрдү өчүрүңүз. Сиз ээси бойдон каласыз — баарын бир басууда кайтарса болот. Жөндөө бардык түзмөктөрүңүздө иштейт.
Спрячьте разделы на время показа — вы остаётесь владельцем	Көрсөтүү учурунда бөлүмдөрдү жашырыңыз — сиз ээси бойдон каласыз
Виден	Көрүнөт
Скрыт	Жашырылган
Настройка сохранена	Жөндөө сакталды
скрыто разделов: %s	жашырылган бөлүмдөр: %s
Скрыто разделов: %s	Жашырылган бөлүмдөр: %s
