 · «%s»: владелец + 	 · «%s»: иесі + 
Ширина ленты	Таспа ені
Ширина ленты вашего термопринтера. Влияет на печать чеков с этого устройства.	Термопринтеріңіздің таспа ені. Осы құрылғыдан чектерді басып шығаруға әсер етеді.
Ширина ленты, автопечать и выбор Bluetooth-принтера	Таспа ені, автобасып шығару және Bluetooth-принтерді таңдау
Штрихкод	Штрих-код
Штрихкод %s не найден	%s штрих-коды табылмады
Штрихкод подставлен	Штрих-код қойылды
Штрихкода нет	Штрих-код жоқ
Штрихкодов: %s	Штрих-кодтар: %s
Штрихкоды	Штрих-кодтар
Штук	Дана
Штучный товар: продаётся целыми единицами.	Даналық тауар: тұтас бірліктермен сатылады.
Эти цифры создадут приход — он появится на странице «Приход».	Бұл цифрлар кіріс жасайды — ол «Кіріс» бетінде пайда болады.
Этикетки FonRo	FonRo затбелгілері
Этикетки отправлены на принтер	Затбелгілер принтерге жіберілді
Это устройство	Осы құрылғы
Это устройство не умеет Bluetooth	Бұл құрылғы Bluetooth-ты қолдамайды
Этот код уже у товара «%s»	Бұл код «%s» тауарында бар
Этот чек уже был проведён — повторно не списываем	Бұл чек өткізілген — қайта есептен шығармаймыз
Я оплатил — обновить	Мен төледім — жаңарту
Язык интерфейса	Интерфейс тілі
Язык кассы на этом устройстве. На чеки и этикетки не влияет.	Осы құрылғыдағы касса тілі. Чектер мен затбелгілерге әсер етпейді.
Язык каталога	Каталог тілі
а все его устройства потеряют доступ. Новый ключ надо будет передать лично.	ал оның барлық құрылғылары қатынауды жоғалтады. Жаңа кілтті жеке беру керек болады.
автор не указан	авторы көрсетілмеген
админ	әкімші
адрес не настроен	мекенжай бапталмаған
активен	белсенді
в документе	құжатта
в долг	қарызға
введите 6-значный код	6 таңбалы кодты енгізіңіз
витрину	витринаны
включён	қосулы
владелец	иесі
возвраты %s на %s	қайтарулар %s, сомасы %s
вс	жс
вт	сс
выключен	өшірулі
заказ	тапсырыс
карта	карта
касса	касса
кассир	кассир
категория	санат
клиент	клиент
магазин	дүкен
менеджер	менеджер
мобильная касса магазина	дүкеннің мобильді кассасы
мы отправили код на %s	біз кодты %s мекенжайына жібердік
на %s. 	%s сомасына. 
на складе: 	қоймада: 
найдено по запросу	сұрау бойынша табылды
наклеек	жапсырма
наклейка	жапсырма
наклейки	жапсырма
наличные	қолма-қол
напр. Аренда	мыс. Жалдау
настройки	параметрлер
не выбран	таңдалмаған
необязательно	міндетті емес
нет кода	код жоқ
нет сети · продажи сохраняются	желі жоқ · сатылымдар сақталуда
нет сети · чеков в очереди: %s	желі жоқ · кезектегі чектер: %s
новый магазин в FonRo	FonRo-тегі жаңа дүкен
остаток, шт	қалдық, дана
остаток: %s %s	қалдық: %s %s
отключён	өшірілген
отменён  	болдырылмады  
отправляем чеки: %s	чектер жіберілуде: %s
пн	дс
позиции	позиция
позиций	позиция
позиция	позиция
позиция #%s	позиция #%s
помидоры с базара, не продались…	базардан алған қызанақ, сатылмады…
попытка	әрекет
попытки	әрекет
попыток	әрекет
прибыль %s	пайда %s
придумайте новый пароль	жаңа құпия сөз ойлап табыңыз
принтер не отвечает	принтер жауап бермейді
приход	кіріс
прихода	кіріс
приходов	кіріс
пришлём код на вашу почту	кодты поштаңызға жібереміз
проведён	өткізілді
продаж	сатылым
продажа	сатылым
продажи	сатылым
прочее	өзге
пт	жм
расход	шығыс
сб	сб
сегодня	бүгін
сотрудник	қызметкер
сотрудника	қызметкер
сотрудников	қызметкер
ср	ср
стандарт — как в iOS по умолчанию	стандарт — iOS-тағыдай әдепкі
сум/мес	сум/ай
считаем по чекам…	чектер бойынша есептелуде…
телефон не указан	телефон көрсетілмеген
товар	тауар
товара	тауар
товаров	тауар
уже есть	бұрыннан бар
уже не в магазине	дүкенде жұмыс істемейді
узкая лента	тар таспа
указать	көрсету
чек	чек
чека	чек
чеков	чек
чт	бс
широкая лента	кең таспа
шт	дана
…и ещё %s	…және тағы %s
← Назад ко входу	← Кіруге оралу
← Уже есть аккаунт? Войти	← Аккаунт бар ма? Кіру
⚙️ Настройки магазина	⚙️ Дүкен параметрлері
✅ Точка задана	✅ Нүкте белгіленді
✏️ Изменить ответ	✏️ Жауапты өзгерту
✓ Подтвердить	✓ Растау
⭐ FonRo Премиум	⭐ FonRo Премиум
⭐ Отзывы	⭐ Пікірлер
＋ Списать товар	＋ Тауарды есептен шығару
🌐 Онлайн-магазин 	🌐 Онлайн-дүкен 
🎟 Промокод %s: −%s%%	🎟 Промокод %s: −%s%%
🏬 Отзыв о магазине	🏬 Дүкен туралы пікір
🏬 Самовывоз	🏬 Өзі алып кету
💬 Ответить	💬 Жауап беру
💱 Валюта витрины	💱 Витрина валютасы
💵 В кассу	💵 Кассаға
📍 Локация магазина	📍 Дүкен орналасуы
📤 Поделиться	📤 Бөлісу
🔒 Бесплатный период закончился	🔒 Тегін кезең аяқталды
🔗 Адрес витрины	🔗 Витрина мекенжайы
🗓 Календарь	🗓 Күнтізбе
🗓 Месяц	🗓 Ай
🚗 Доставка	🚗 Жеткізу
🚚 Доставка	🚚 Жеткізу
🚚 Магазин доставляет заказы	🚚 Дүкен тапсырыстарды жеткізеді
🧭 Открыть	🧭 Ашу
🧾 Чеки	🧾 Чектер
Аудит доступен сотрудникам с правом «Аудит». Историю проверок видно всем.	Түгендеу «Түгендеу» құқығы бар қызметкерлерге қолжетімді. Тексерулер тарихын бәрі көреді.
Аудитов пока не было. Нажмите «Начать аудит».	Әзірге түгендеу болмаған. «Түгендеуді бастау» түймесін басыңыз.
Аудитов по этому товару не было.	Бұл тауар бойынша түгендеу болмаған.
Аудит проведён	Түгендеу өткізілді
Провести аудит?	Түгендеуді өткізесіз бе?
Нет права на аудит	Түгендеуге құқық жоқ
Новый аудит	Жаңа түгендеу
Начать аудит	Түгендеуді бастау
Введите сумму оплаты	Төлем сомасын енгізіңіз
Внесено сейчас	Қазір төленді
Нет доступа для этого действия.	Бұл әрекетке рұқсат жоқ.
Оплата меньше суммы чека	Төлем чек сомасынан аз
Отложенные	Кейінге қалдырылғандар
Подставить сумму	Сомасын қою
Провести продажу	Сатуды өткізу
Провести продажу?	Сату өткізілсін бе?
Скидка на чек снята: стоят скидки на позиции	Чекке жеңілдік алынды: позицияларға жеңілдік қойылған
Скидка съедает весь чек — к оплате 0	Жеңілдік бүкіл чекті жабады — төлемге 0
Скидки на позиции	Позицияларға жеңілдіктер
Сумма картой	Карта сомасы
Уже стоят скидки на позиции	Позицияларға жеңілдік қойылып қойған
Чем внесли сейчас	Қазір немен төленді
Мой доступ	Менің рұқсатым
Доступ	Рұқсат
Открыть всё	Барлығын ашу
Доступ открыт полностью	Рұқсат толық ашық
Скрыто разделов:	Жасырылған бөлімдер:
скрыто разделов:	жасырылған бөлімдер:
открыто всё	барлығы ашық
Управление	Басқару
нельзя скрыть: отсюда всё и возвращается	жасыруға болмайды: бәрі осы жерден қайтарылады
Выключите разделы, которые не хотите показывать. Вы остаётесь владельцем — вернуть всё можно в один тап. Настройка действует на всех ваших устройствах.	Көрсеткіңіз келмейтін бөлімдерді өшіріңіз. Сіз иесі болып қаласыз — бәрін бір рет басып қайтаруға болады. Баптау барлық құрылғыларыңызда жұмыс істейді.
Спрячьте разделы на время показа — вы остаётесь владельцем	Көрсету кезінде бөлімдерді жасырыңыз — сіз иесі болып қаласыз
Виден	Көрінеді
Скрыт	Жасырылған
Настройка сохранена	Баптау сақталды
скрыто разделов: %s	жасырылған бөлімдер: %s
Скрыто разделов: %s	Жасырылған бөлімдер: %s
