 · «%s»: владелец + 	 · «%s»: соҳиб + 
Уже существующие коды не тронем.	Кодҳои аллакай мавҷударо даст намерасонем.
Уйдут сами при появлении связи	Ҳангоми пайдо шудани алоқа худашон мераванд
Укажите количество хотя бы по одной позиции	Ақаллан барои як мавқеъ миқдорро нишон диҳед
Укажите количество хотя бы по одному товару	Ақаллан барои як мол миқдорро нишон диҳед
Укажите количество — здесь появится образец наклейки.	Миқдорро нишон диҳед — дар ин ҷо намунаи стикер пайдо мешавад.
Укажите сумму	Маблағро нишон диҳед
Укажите цену продажи — по ней товар будет продаваться.	Нархи фурӯшро нишон диҳед — мол аз рӯи он фурӯхта мешавад.
Укажите, сколько наклеек напечатать	Нишон диҳед, ки чанд стикер чоп карда шавад
Установлена устаревшая версия приложения. Обновите его в Google Play, чтобы продолжить работу.	Версияи кӯҳнаи барнома насб шудааст. Барои идома додани кор онро дар Google Play навсозӣ кунед.
Устройств нет — ключ ещё нигде не активирован.	Дастгоҳҳо нестанд — калид ҳанӯз дар ҳеҷ ҷо фаъол нашудааст.
Устройства	Дастгоҳҳо
Устройство	Дастгоҳ
Устройство отвязано	Дастгоҳ ҷудо карда шуд
Учёт	Ҳисоб
Учёт, %s	Ҳисоб, %s
Ушло на сервер: 	Ба сервер рафт: 
Факт	Воқеӣ
Фактически	Воқеан
Цвет	Ранг
Цена	Нарх
Цена доставки (0 — бесплатно)	Нархи расонидан (0 — ройгон)
Цена прихода	Нархи воридот
Цена прихода: 	Нархи воридот: 
Цена продажи	Нархи фурӯш
Цены и остаток	Нархҳо ва боқимонда
Цифры кода под полосками	Рақамҳои код дар зери хатҳо
Частично	Қисман
Частичный возврат	Баргардонидани қисмӣ
Чат с командой FonRo	Чат бо дастаи FonRo
Чек	Чек
Чек 	Чек 
Чек #%s	Чек #%s
Чек %s. Позиций: %s. 	Чеки %s. Мавқеъҳо: %s. 
Чек / товары	Чек / молҳо
Чек вернулся в кассу	Чек ба касса баргашт
Чек исчезнет с устройства и на сервер больше не попадёт: продажи в отчётах магазина не будет, а списанный остаток останется списанным. Удаляйте только тот чек, который сервер уже отверг по существу.	Чек аз дастгоҳ нест мешавад ва дигар ба сервер намеравад: фурӯш дар ҳисоботи мағоза намемонад, аммо боқимондаи аз ҳисоб баровардашуда ҳамон тавр мемонад. Танҳо он чекеро нест кунед, ки сервер онро аз рӯи моҳият рад кардааст.
Чек не найден. Проверьте номер.	Чек ёфт нашуд. Рақамро санҷед.
Чек отложен — касса свободна	Чек нигоҳ дошта шуд — касса озод
Чек отправлен на принтер	Чек ба принтер фиристода шуд
Чек пуст	Чек холӣ аст
Чек удалён из очереди	Чек аз навбат нест карда шуд
Чек уходит на принтер, как только продажа проведена	Ҳамин ки фурӯш гузаронида шавад, чек ба принтер меравад
Чек №%s	Чек №%s
Чеки, которые ждут связи	Чекҳое, ки алоқаро интизоранд
Чеки, которые ждут связи с сервером	Чекҳое, ки алоқа бо серверро интизоранд
Чеки, которые не удалось отправить на сервер, хранятся на этом устройстве и уйдут сами, как только появится связь. Продажа уже проведена: остаток списан, чек можно печатать.\n\nПовторная отправка безопасна — сервер узнаёт номер чека и не проводит его дважды.	Чекҳое, ки ба сервер фиристода нашуданд, дар ин дастгоҳ нигоҳ дошта мешаванд ва ҳамин ки алоқа пайдо шавад, худашон мераванд. Фурӯш аллакай гузаронида шудааст: боқимонда аз ҳисоб бароварда шуд, чекро чоп кардан мумкин аст.\n\nФиристодани такрорӣ бехатар аст — сервер рақами чекро мешиносад ва онро ду бор намегузаронад.
Чеков	Чекҳо
Что за товар	Ин чӣ мол аст
Чтобы продолжать проводить приход — выберите тариф.	Барои идома додани воридот — тарифро интихоб кунед.
Чтобы продолжать продавать — выберите тариф.	Барои идома додани фурӯш — тарифро интихоб кунед.
Чтобы прочитать штрихкод, разрешите приложению доступ к камере.	Барои хондани штрих-код ба барнома дастрасӣ ба камераро иҷозат диҳед.
Чтобы увидеть список принтеров, нужен доступ к устройствам поблизости.	Барои дидани рӯйхати принтерҳо дастрасӣ ба дастгоҳҳои наздик лозим аст.
Чёрный / 64 GB	Сиёҳ / 64 GB
Шаг продажи	Қадами фурӯш
Ширина ленты	Бари лента
Ширина ленты вашего термопринтера. Влияет на печать чеков с этого устройства.	Бари лентаи термопринтери шумо. Ба чопи чекҳо аз ин дастгоҳ таъсир мерасонад.
Ширина ленты, автопечать и выбор Bluetooth-принтера	Бари лента, чопи худкор ва интихоби принтери Bluetooth
Штрихкод	Штрих-код
Штрихкод %s не найден	Штрих-коди %s ёфт нашуд
Штрихкод подставлен	Штрих-код гузошта шуд
Штрихкода нет	Штрих-код нест
Штрихкодов: %s	Штрих-кодҳо: %s
Штрихкоды	Штрих-кодҳо
Штук	Дона
Штучный товар: продаётся целыми единицами.	Моли донагӣ: бо воҳидҳои пурра фурӯхта мешавад.
Эти цифры создадут приход — он появится на странице «Приход».	Ин рақамҳо воридот эҷод мекунанд — он дар саҳифаи «Воридот» пайдо мешавад.
Этикетки FonRo	Этикеткаҳои FonRo
Этикетки отправлены на принтер	Этикеткаҳо ба принтер фиристода шуданд
Это устройство	Ин дастгоҳ
Это устройство не умеет Bluetooth	Ин дастгоҳ Bluetooth-ро дастгирӣ намекунад
Этот код уже у товара «%s»	Ин код аллакай дар моли «%s» аст
Этот чек уже был проведён — повторно не списываем	Ин чек аллакай гузаронида шудааст — такроран аз ҳисоб намебарорем
Я оплатил — обновить	Ман пардохт кардам — навсозӣ
Язык интерфейса	Забони интерфейс
Язык кассы на этом устройстве. На чеки и этикетки не влияет.	Забони кассаи ин дастгоҳ. Ба чекҳо ва этикеткаҳо таъсир намерасонад.
Язык каталога	Забони каталог
а все его устройства потеряют доступ. Новый ключ надо будет передать лично.	ва ҳамаи дастгоҳҳои ӯ дастрасиро гум мекунанд. Калиди навро бояд шахсан супоред.
автор не указан	муаллиф нишон дода нашудааст
админ	админ
адрес не настроен	суроға танзим нашудааст
активен	фаъол
в документе	дар ҳуҷҷат
в долг	ба қарз
введите 6-значный код	коди 6-рақамаро ворид кунед
витрину	витринаро
включён	фаъол
владелец	соҳиб
возвраты %s на %s	баргардонидан %s ба %s
вс	яш
вт	сш
выключен	хомӯш
заказ	фармоиш
карта	корт
касса	касса
кассир	кассир
категория	категория
клиент	мизоҷ
магазин	мағоза
менеджер	менеҷер
мобильная касса магазина	кассаи мобилии мағоза
мы отправили код на %s	мо кодро ба %s фиристодем
на %s. 	ба %s. 
на складе: 	дар анбор: 
найдено по запросу	аз рӯи дархост ёфт шуд
наклеек	стикер
наклейка	стикер
наклейки	стикер
наличные	нақд
напр. Аренда	мас. Иҷора
настройки	танзимот
не выбран	интихоб нашуд
необязательно	ихтиёрӣ
нет кода	код нест
нет сети · продажи сохраняются	шабака нест · фурӯш нигоҳ дошта мешавад
нет сети · чеков в очереди: %s	шабака нест · чекҳо дар навбат: %s
новый магазин в FonRo	мағозаи нав дар FonRo
остаток, шт	боқимонда, дона
остаток: %s %s	боқимонда: %s %s
отключён	хомӯш
отменён  	бекоршуда  
отправляем чеки: %s	чекҳоро мефиристем: %s
пн	дш
позиции	мавқеъ
позиций	мавқеъ
позиция	мавқеъ
позиция #%s	мавқеъ #%s
помидоры с базара, не продались…	помидор аз бозор, фурӯхта нашуд…
попытка	кӯшиш
попытки	кӯшиш
попыток	кӯшиш
прибыль %s	фоида %s
придумайте новый пароль	пароли нав андешед
принтер не отвечает	принтер ҷавоб намедиҳад
приход	воридот
прихода	воридот
приходов	воридот
пришлём код на вашу почту	кодро ба почтаи шумо мефиристем
проведён	гузаронида шуд
продаж	фурӯш
продажа	фурӯш
продажи	фурӯш
прочее	дигар
пт	ҷм
расход	хароҷот
сб	шб
сегодня	имрӯз
сотрудник	корманд
сотрудника	корманд
сотрудников	корманд
ср	чш
стандарт — как в iOS по умолчанию	стандарт — мисли iOS ба таври пешфарз
сум/мес	сум/моҳ
считаем по чекам…	аз рӯи чекҳо ҳисоб мекунем…
телефон не указан	телефон нишон дода нашудааст
товар	мол
товара	мол
товаров	мол
уже есть	аллакай ҳаст
уже не в магазине	дигар дар мағоза нест
узкая лента	лентаи борик
указать	нишон додан
чек	чек
чека	чек
чеков	чек
чт	пш
широкая лента	лентаи васеъ
шт	дона
…и ещё %s	…ва боз %s
← Назад ко входу	← Бозгашт ба воридшавӣ
← Уже есть аккаунт? Войти	← Аллакай аккаунт доред? Ворид шавед
⚙️ Настройки магазина	⚙️ Танзимоти мағоза
✅ Точка задана	✅ Нуқта муайян шуд
✏️ Изменить ответ	✏️ Ҷавобро тағйир додан
✓ Подтвердить	✓ Тасдиқ кардан
⭐ FonRo Премиум	⭐ FonRo Премиум
⭐ Отзывы	⭐ Шарҳҳо
＋ Списать товар	＋ Молро аз ҳисоб баровардан
🌐 Онлайн-магазин 	🌐 Мағозаи онлайн 
🎟 Промокод %s: −%s%%	🎟 Промокоди %s: −%s%%
🏬 Отзыв о магазине	🏬 Шарҳ дар бораи мағоза
🏬 Самовывоз	🏬 Худгирӣ
💬 Ответить	💬 Ҷавоб додан
💱 Валюта витрины	💱 Асъори витрина
💵 В кассу	💵 Ба касса
📍 Локация магазина	📍 Ҷойгиршавии мағоза
📤 Поделиться	📤 Мубодила кардан
🔒 Бесплатный период закончился	🔒 Давраи ройгон ба охир расид
🔗 Адрес витрины	🔗 Суроғаи витрина
🗓 Календарь	🗓 Тақвим
🗓 Месяц	🗓 Моҳ
🚗 Доставка	🚗 Расонидан
🚚 Доставка	🚚 Расонидан
🚚 Магазин доставляет заказы	🚚 Мағоза фармоишҳоро мерасонад
🧭 Открыть	🧭 Кушодан
🧾 Чеки	🧾 Чекҳо
Аудит доступен сотрудникам с правом «Аудит». Историю проверок видно всем.	Инвентаризатсия барои кормандони дорои ҳуқуқи «Инвентаризатсия» дастрас аст. Таърихи санҷишҳоро ҳама мебинанд.
Аудитов пока не было. Нажмите «Начать аудит».	Ҳоло инвентаризатсия набуд. «Инвентаризатсияро оғоз кардан»-ро пахш кунед.
Аудитов по этому товару не было.	Аз рӯи ин мол инвентаризатсия набуд.
Аудит проведён	Инвентаризатсия гузаронида шуд
Провести аудит?	Инвентаризатсия гузаронида шавад?
Нет права на аудит	Ҳуқуқи инвентаризатсия нест
Новый аудит	Инвентаризатсияи нав
Начать аудит	Инвентаризатсияро оғоз кардан
Введите сумму оплаты	Маблағи пардохтро ворид кунед
Внесено сейчас	Ҳозир пардохт шуд
Нет доступа для этого действия.	Барои ин амал дастрасӣ нест.
Оплата меньше суммы чека	Пардохт аз маблағи чек камтар аст
Отложенные	Таъхиршуда
Подставить сумму	Гузоштани маблағ
Провести продажу	Гузаронидани фурӯш
Провести продажу?	Фурӯш гузаронида шавад?
Скидка на чек снята: стоят скидки на позиции	Тахфифи чек бардошта шуд: ба мавқеъҳо тахфиф гузошта шудааст
Скидка съедает весь чек — к оплате 0	Тахфиф тамоми чекро фаро мегирад — барои пардохт 0
Скидки на позиции	Тахфифҳо ба мавқеъҳо
Сумма картой	Маблағи корт
Уже стоят скидки на позиции	Ба мавқеъҳо аллакай тахфиф гузошта шудааст
Чем внесли сейчас	Ҳозир бо чӣ пардохт шуд
Мой доступ	Дастрасии ман
Доступ	Дастрасӣ
Открыть всё	Ҳамаро кушодан
Доступ открыт полностью	Дастрасӣ пурра кушода
Скрыто разделов:	Бахшҳои пинҳоншуда:
скрыто разделов:	бахшҳои пинҳоншуда:
открыто всё	ҳама кушода
Управление	Идоракунӣ
нельзя скрыть: отсюда всё и возвращается	пинҳон кардан мумкин нест: ҳама аз ҳамин ҷо бармегардад
Выключите разделы, которые не хотите показывать. Вы остаётесь владельцем — вернуть всё можно в один тап. Настройка действует на всех ваших устройствах.	Бахшҳоеро, ки нишон додан намехоҳед, хомӯш кунед. Шумо соҳиб боқӣ мемонед — ҳамаро бо як зер кардан баргардонидан мумкин. Танзим дар ҳамаи дастгоҳҳои шумо кор мекунад.
Спрячьте разделы на время показа — вы остаётесь владельцем	Ҳангоми намоиш бахшҳоро пинҳон кунед — шумо соҳиб боқӣ мемонед
Виден	Намоён
Скрыт	Пинҳон
Настройка сохранена	Танзим нигоҳ дошта шуд
скрыто разделов: %s	бахшҳои пинҳоншуда: %s
Скрыто разделов: %s	Бахшҳои пинҳоншуда: %s
